airport,all_airports,state,country,city,type,iata_code,city_code,longitude,latitude,time_zone,gmt_offset,mileage_region,region
Zyryanka,N,,Russia,Zyryanka,airport,ZKP,ZKP,150705,65.7366667,Asia/Magadan,GMT+12:00,Europe 2,EU
Zurich Airport,N,,Switzerland,Zurich,airport,ZRH,ZRH,8.54916667,47.4647222,Europe/Zurich,GMT+1:00,Europe 1,EU
Zunyi Xinzhou,N,,China,Zunyi,airport,ZYI,ZYI,107.246111,27.8111111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zouerate Tazadit,N,,Mauritania,Zouerate,airport,OUZ,OUZ,-12.476111,22.7577778,Africa/Nouakchott,GMT0:00,"East, West & South Africa",AF
Zonguldak Caycuma,N,,Turkey,Zonguldak,airport,ONQ,ONQ,32.0886111,41.5055556,Europe/Istanbul,GMT+2:00,Europe 2,EU
Zinder,N,,Niger,Zinder,airport,ZND,ZND,8.98361111,13.7788889,Africa/Niamey,GMT+1:00,"East, West & South Africa",AF
Ziguinchor,N,,Senegal,Ziguinchor,airport,ZIG,ZIG,-16.281667,12.5555556,Africa/Dakar,GMT0:00,"East, West & South Africa",AF
Zhuhai Sanzao International,N,,China,Zhuhai,airport,ZUH,ZUH,113.376111,22.0066667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhuhai Jiuzhou Ferry Port,N,,China,Zhuhai,airport,ZUI,ZUH,113.583333,22.2361111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhoushan Putuoshan,N,,China,Zhoushan,airport,HSN,HSN,122.361944,29.9347222,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhongwei Xiangshan,N,,China,Zhongwei,airport,ZHY,ZHY,105.151389,37.5727778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhongshan Ferry Port,N,,China,Zhongshan Ferry Port,airport,ZGN,ZGN,113.342778,22.5211111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhob,N,,Pakistan,Zhob,airport,PZH,PZH,69.4636111,31.3583333,Asia/Karachi,GMT+5:00,Indian Subcontinent,IN
Zhigansk,N,,Russia,Zhigansk,airport,ZIX,ZIX,123.364444,66.7938889,Asia/Yakutsk,GMT+10:00,Europe 2,EU
Zhezkazgan,N,,Kazakhstan,Zhezkazgan,airport,DZN,DZN,67.7402778,47.71,Asia/Almaty,GMT+6:00,Middle East & North Africa,ME
Zhengzhou Xinzheng International,N,,China,Zhengzhou,airport,CGO,CGO,113.841111,34.5194444,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhaotong,N,,China,Zhaotong,airport,ZAT,ZAT,103.754722,27.3258333,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhanjiang,N,,China,Zhanjiang,airport,ZHA,ZHA,110.358333,21.2152778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhangye Ganzhou,N,,China,Zhangye,airport,YZY,YZY,100.660833,38.8075,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhangjiakou,N,,China,Zhangiakou,airport,ZQZ,ZQZ,114.930833,40.7391667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zhangjiajie Hehua,N,,China,Dayong,airport,DYG,DYG,110.443056,29.1044444,Asia/Shanghai,GMT+8:00,Asia 1,AS
Zaysan,N,,Kazakhstan,Zaisan,airport,SZI,SZI,84.8863889,47.4875,Asia/Almaty,GMT+6:00,Middle East & North Africa,ME
Zaranj,N,,Afghanistan,Zaranj,airport,ZAJ,ZAJ,61.8663889,30.9713889,Asia/Kabul,GMT+4:30,Indian Subcontinent,IN
Zaragoza,N,,Spain,Zaragoza,airport,ZAZ,ZAZ,-1.0416667,41.6661111,Europe/Madrid,GMT+1:00,Europe 1,EU
Zaporizhzhia Mokraya International,N,,Ukraine,Zaporozhye,airport,OZH,OZH,35.3155556,47.8669444,Europe/Kiev,GMT+2:00,Europe 2,EU
Zanzibar International,N,,Tanzania,Zanzibar,airport,ZNZ,ZNZ,39225,-6.2219444,Africa/Dar_es_Salaam,GMT+3:00,"East, West & South Africa",AF
Zamboanga International,N,,Philippines,Zamboanga,airport,ZAM,ZAM,122.059722,6.9225,Asia/Manila,GMT+8:00,Asia 2,AS
Zalengei,N,,Sudan,Zalengei,airport,ZLX,ZLX,23.5655556,12.9416667,Africa/Khartoum,GMT+3:00,"East, West & South Africa",AF
Zakinthos Island Dionisios Salomos,N,,Greece,Zakinthos,airport,ZTH,ZTH,20.8841667,37.7508333,Europe/Athens,GMT+2:00,Europe 2,EU
Zahedan International,N,,Iran,Zahedan,airport,ZAH,ZAH,60.9033333,29.4733333,Asia/Tehran,GMT+3:30,Middle East & North Africa,ME
Zagreb Pleso,N,,Croatia,Zagreb,airport,ZAG,ZAG,16.0688889,45.7430556,Europe/Zagreb,GMT+1:00,Europe 2,EU
Zagora,N,,Morocco,Zagora,airport,OZG,OZG,-5.8530556,30.2638889,Africa/Casablanca,GMT0:00,Middle East & North Africa,ME
Zadar,N,,Croatia,Zadar,airport,ZAD,ZAD,15.3466667,44.1083333,Europe/Zagreb,GMT+1:00,Europe 2,EU
Zachar Bay Sea Plane Base,N,AK,United States,Zachar Bay,airport,KZB,KZB,-153.75,57.55,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Zacatecas Leobardo C. Ruiz International,N,,Mexico,Zacatecas,airport,ZCL,ZCL,-102.68694,22.8972222,America/Cancun,GMT-6:00,Mexico,CA
Zabol,N,,Iran,Zabol,airport,ACZ,ACZ,61.5438889,31.0983333,Asia/Tehran,GMT+3:30,Middle East & North Africa,ME
Yuzhno-Sakhalinsk Khomutovo,N,,Russia,Yuzhno-Sakhalinsk,airport,UUS,UUS,142.7175,46.8886111,Asia/Vladivostok,GMT+11:00,Europe 2,EU
Yuzhno-Kurilsk Mendeleyevo,N,,Russia,Yuzhno-Kurilsk,airport,DEE,DEE,145.685556,43.9613889,Asia/Vladivostok,GMT+11:00,Europe 2,EU
Yushu Batang,N,,China,Yushu Xian,airport,YUS,YUS,97.1219444,32.8266667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yuncheng Guangong,N,,China,Yun Cheng,airport,YCU,YCU,111.033611,35.1163889,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yuma International,N,AZ,United States,Yuma,airport,YUM,YUM,-114.60611,32.6566667,America/Phoenix,GMT-7:00,Canada & Continental USA,US
Yulin Yuyang,N,,China,Yulin,airport,UYN,UYN,109.730556,38.27,Asia/Shanghai,GMT+8:00,Asia 1,AS
Youngstown,N,OH,United States,Youngstown,airport,YNG,YNG,-80.678889,41.2630556,America/New_York,GMT-5:00,Canada & Continental USA,US
Yoshkar-Ola,N,,Russia,Joshkar-Ola,airport,JOK,JOK,47.8963889,56.7008333,Europe/Moscow,GMT+4:00,Europe 2,EU
Yoron,N,,Japan,Yoronjima,airport,RNJ,RNJ,128.401944,27.0438889,Asia/Tokyo,GMT+9:00,Asia 1,AS
York Landing,N,MB,Canada,York Landing,airport,ZAC,ZAC,-96.084722,56.0844444,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Yopal El Alcaravan,N,,Colombia,El Yopal,airport,EYP,EYP,-72.383889,5.31916667,America/Bogota,GMT-5:00,Northern South America,SA
Yongzhou Lingling,N,,China,Ling Ling,airport,LLF,LLF,111.608889,26.3416667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yonago Miho,N,,Japan,Yonago,airport,YGJ,YGJ,133.236389,35.4922222,Asia/Tokyo,GMT+9:00,Asia 1,AS
Yola,N,,Nigeria,Yola,airport,YOL,YOL,12.4305556,9.2575,Africa/Lagos,GMT+1:00,"East, West & South Africa",AF
Yogyakarta Adisutjipto,N,,Indonesia,Yogyakarta,airport,JOG,JOG,110.431667,-7.7880556,Asia/Jakarta,GMT+7:00,Asia 2,AS
Yiwu,N,,China,Yiwu,airport,YIW,YIW,120.0325,29345,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yining,N,,China,Yining,airport,YIN,YIN,81.3288889,43.9552778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yinchuan Hedong,N,,China,Yinchuan,airport,INC,INC,106.011944,38.4933333,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yichun Lindu,N,,China,Yichun Shi,airport,LDS,LDS,129.017778,47.7513889,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yichun  Mingyueshan,N,,China,Yichun (Jiangxi),airport,YIC,YIC,114.307778,27.8033333,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yichang Sanxia,N,,China,Yichang,airport,YIH,YIH,111.479722,30.5569444,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yibin Caiba,N,,China,Yibin,airport,YBP,YBP,104545,28.8002778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yerevan Zvartnots International,N,,Armenia,Yerevan,airport,EVN,EVN,44.3958333,40.1472222,Asia/Yerevan,GMT+4:00,Europe 2,EU
Yeosu/Suncheon,N,,South Korea,Yosu,airport,RSU,RSU,127.616944,34.8422222,Asia/Seoul,GMT+9:00,Asia 1,AS
Yellowknife,N,NT,Canada,Yellowknife,airport,YZF,YZF,-114.44306,62.4686111,America/Edmonton,GMT-7:00,Canada & Continental USA,US
Yekaterinburg Koltsovo,N,,Russia,Yekaterinburg,airport,SVX,SVX,60.8027778,56.7430556,Asia/Yekaterinburg,GMT+6:00,Europe 2,EU
Yazd Shahid Sadooghi,N,,Iran,Yazd,airport,AZD,AZD,54.2819444,31.9011111,Asia/Tehran,GMT+3:30,Middle East & North Africa,ME
Yasouj,N,,Iran,Yasouj,airport,YES,YES,51.55,30.6969444,Asia/Tehran,GMT+3:30,Middle East & North Africa,ME
Yaroslavl Tunoshna,N,,Russia,Yaroslavl,airport,IAR,IAR,40.1577778,57.5588889,Europe/Moscow,GMT+4:00,Europe 2,EU
Yap International,N,,Micronesia,Yap,airport,YAP,YAP,138.0825,9.49888889,Pacific/Truk,GMT+10:00,Asia 2,AS
Yaounde Nsimalen International,N,,Cameroon,Yaounde,airport,NSI,YAO,11.5533333,3.7225,Africa/Douala,GMT+1:00,"East, West & South Africa",AF
Yantai Penglai International,N,,China,Yantai,airport,YNT,YNT,121.371667,37.4016667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yanji Chaoyangchuan,N,,China,Yanji,airport,YNJ,YNJ,129.451389,42.8827778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yangzhou Taizhou,N,,China,Yangzhou,airport,YTY,YTY,119.718889,32.5630556,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yangyang International,N,,South Korea,Yangyang,airport,YNY,YNY,128.669167,38.0613889,Asia/Seoul,GMT+9:00,Asia 1,AS
Yangon International,N,,Myanmar,Yangon,airport,RGN,RGN,96.1333333,16.9072222,Asia/Rangoon,GMT+6:30,Asia 2,AS
Yancheng Nanyang,N,,China,Yancheng,airport,YNZ,YNZ,120.203056,33.4261111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yanbu al Bahr,N,,Saudi Arabia,Yanbu,airport,YNB,YNB,38.0633333,24.1441667,Asia/Riyadh,GMT+3:00,Middle East & North Africa,ME
Yan'an Ershilipu,N,,China,Yan'An,airport,ENY,ENY,109.553333,36.6366667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Yamaguchi-Ube,N,,Japan,Ube,airport,UBJ,UBJ,131.278611,33.93,Asia/Tokyo,GMT+9:00,Asia 1,AS
Yamagata,N,,Japan,Yamagata,airport,GAJ,GAJ,140.371389,38.4119444,Asia/Tokyo,GMT+9:00,Asia 1,AS
Yakutsk,N,,Russia,Yakutsk,airport,YKS,YKS,129.770556,62.0933333,Asia/Yakutsk,GMT+10:00,Europe 2,EU
Yakutat,N,AK,United States,Yakutat,airport,YAK,YAK,-139.66,59.5091667,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Yakushima,N,,Japan,Yakushima,airport,KUM,KUM,130.659444,30.3855556,Asia/Tokyo,GMT+9:00,Asia 1,AS
Yakima Air Terminal,N,WA,United States,Yakima,airport,YKM,YKM,-120.54083,46.5680556,America/Los_Angeles,GMT-8:00,Canada & Continental USA,US
Yacuiba,N,,Bolivia,Yacuiba,airport,BYC,BYC,-63.651944,-21.961111,America/La_Paz,GMT-4:00,Southern South America,SA
Xuzhou Guanyin,N,,China,Xuzhou,airport,XUZ,XUZ,117.245833,34.2294444,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xinyuan Nalati,N,,China,Xinyuan City,airport,NLT,NLT,83.3822222,43.4322222,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xining Caojiabao,N,,China,Xining,airport,XNN,XNN,102.040278,36.5286111,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xingyi,N,,China,Xingyi,airport,ACX,ACX,104.959444,25.0855556,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xilinhot,N,,China,Xilinhot,airport,XIL,XIL,115.963333,43.9155556,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xigaze/Rikaze Peace,N,,China,Rikaze,airport,RKZ,RKZ,89.31,29.3519444,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xichang Qingshan,N,,China,Xichang,airport,XIC,XIC,102.184444,27.9891667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xiangyang Liuji,N,,China,Xiangfan,airport,XFN,XFN,112.290833,32.1505556,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xiamen Gaoqi International,N,,China,Xiamen,airport,XMN,XMN,118.127778,24.5441667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Xi'an Xianyang International,N,,China,Xi An,airport,XIY,SIA,108.753889,34.4477778,Asia/Shanghai,GMT+8:00,Asia 1,AS
Wuzhou Changzhoudao,N,,China,Wuzhou,airport,WUZ,WUZ,111.248056,23.4566667,Asia/Shanghai,GMT+8:00,Asia 1,AS
Wuyishan,N,,China,Wuyishan,airport,WUS,WUS,118.003056,27.7069444,Asia/Shanghai,GMT+8:00,Asia 1,AS
Wuxi Sunan Shuofang,N,,China,Wuxi,airport,WUX,WUX,120.429444,31.4947222,Asia/Shanghai,GMT+8:00,Asia 1,AS
Wuhan Tianhe International,N,,China,Wuhan,airport,WUH,WUH,114.208056,30.7838889,Asia/Shanghai,GMT+8:00,Asia 1,AS
Wuhai,N,,China,Wu Hai,airport,WUA,WUA,106.799444,39.7925,Asia/Shanghai,GMT+8:00,Asia 1,AS
Wroclaw Nicolaus Copernicus,N,,Poland,Wroclaw,airport,WRO,WRO,16.8858333,51.1027778,Europe/Warsaw,GMT+1:00,Europe 1,EU
Wrangell,N,AK,United States,Wrangell,airport,WRG,WRG,-132.36972,56.4844444,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Worland Municipal,N,WY,United States,Worland,airport,WRL,WRL,-107.95306,43.9644444,America/Denver,GMT-7:00,Canada & Continental USA,US
Worcester,N,MA,United States,Worcester,airport,ORH,ORH,-71.874167,42.2666667,America/New_York,GMT-5:00,Canada & Continental USA,US
Woodie Woodie,N,,Australia,Woodie Woodie,airport,WWI,WWI,121.190833,-21.645278,Australia/Perth,GMT+8:00,Australia New Zealand & South Pacific,AU
Wonju,N,,South Korea,Won-Ju,airport,WJU,WJU,127.960278,37.4380556,Asia/Seoul,GMT+9:00,Asia 1,AS
Wolf Point L.M. Clayton,N,MT,United States,Wolf Point,airport,OLF,OLF,-105.57583,48.0947222,America/Denver,GMT-7:00,Canada & Continental USA,US
Winton,N,,Australia,Winton,airport,WIN,WIN,143.085556,-22.363611,Australia/Brisbane,GMT+10:00,Australia New Zealand & South Pacific,AU
Winston Salem Smith-Reynolds,N,NC,United States,Winston-Salem,airport,INT,INT,-80.225278,36.1375,America/New_York,GMT-5:00,Canada & Continental USA,US
Winnipeg J.A. Richardson International,N,MB,Canada,Winnipeg,airport,YWG,YWG,-97.24,49.91,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Windsor,N,ON,Canada,Windsor,airport,YQG,YQG,-82.961944,42.2705556,America/Montreal,GMT-5:00,Canada & Continental USA,US
Windorah,N,,Australia,Windorah,airport,WNR,WNR,142.669167,-25.410556,Australia/Brisbane,GMT+10:00,Australia New Zealand & South Pacific,AU
Windhoek Hosea Kutako International,N,,Namibia,Windhoek,airport,WDH,WDH,17.4708333,-22.48,Africa/Windhoek,GMT+1:00,"East, West & South Africa",AF
